Station,Field Asset Name,X,Y,Z,Customer Name,Site
ABCG00CAN,00871-01:1018828049,-1643170.72,-3665623.049,4938938.078,Swift,CONUS 1.0CanadaAlbertaCAN001594
ALBH00USA,00871-01:1018828051,299510.719,-5314248.206,3502730.358,Swift,CONUS 1.0SoutheastALUSA001595
ALGR00USA,00871-01:1018828054,319314.8417,-5414729.853,3344465.397,Swift,CONUS 1.0SoutheastALUSA001596
ARAK00USA,00871-01:1018828023,-281594.4276,-5278334.653,3557521.625,Swift,CONUS 1.0South CentralARUSA001597
ARCB00USA,00871-01:2193004,-186136.3823,-5228459.225,3636060.662,Swift,CONUS 1.0South CentralARUSA001598
ARFM00USA,00871-01:1871,-401261.9594,-5190336.172,3672940.845,Swift,CONUS 1.0South CentralARUSA001599
ARPH00USA,00871-01:2193008,-87202.1369,-5148246.151,3751620.964,Swift,CONUS 1.0South CentralARUSA001600
AZCH00USA,00871-01:2193066,-1981449.392,-4933155.37,3512975.004,Swift,CONUS 1.0WestAZUSA001930
AZDL00USA,00871-01:1018828019,-2143418.265,-4920018.648,3435353.529,Swift,CONUS 1.0WestAZUSA001602
AZFL00USA,00871-01:1018828012,-1925502.71,-4851308.267,3657112.524,Swift,CONUS 1.0WestAZUSA001603
AZGB00USA,00871-01:1018828024,-1892112.734,-4984231.541,3491322.5,Swift,CONUS 1.0WestAZUSA001604
AZHB00USA,00871-01:1018828037,-1805041.847,-4917048.81,3629857.695,Swift,CONUS 1.0WestAZUSA001605
AZPG00USA,00871-01:2193043,-1868016.163,-4752332.267,3811170.861,Swift,CONUS 1.0WestAZUSA001606
AZST00USA,00871-01:1018828013,-1946425.085,-5055231.85,3357707.354,Swift,CONUS 1.0WestAZUSA001608
AZWC00USA,00871-01:2018,-1832180.016,-5079917.418,3384815.012,Swift,CONUS 1.0WestAZUSA001609
CAAA00USA,00871-01:2004,-2756830.859,-4134931.019,3984476.341,Swift,CONUS 1.0WestCAUSA001900
CAAS00USA,00871-01:2002,-2432237.159,-4122102.367,4203677.367,Swift,CONUS 1.0WestCAUSA001610
CABE00USA,00871-01:1950,-2211080.555,-4835777.074,3510646.191,Swift,CONUS 1.0WestCAUSA001611
CABS00USA,00871-01:1981,-2414134.414,-4465963.825,3850164.025,Swift,CONUS 1.0WestCAUSA001612
CABW00USA,00871-01:1997,-2387558.306,-4663212.369,3626900.647,Swift,CONUS 1.0WestCAUSA001613
CACS00USA,00871-01:1983,-2533086.183,-4440145.641,3801701.379,Swift,CONUS 1.0WestCAUSA001615
CADA00USA,00871-01:2021,-2531459.107,-4521046.35,3706851.203,Swift,CONUS 1.0WestCAUSA001616
CADV00USA,00871-01:1018828041,-2716825.368,-4315243.789,3818360.29,Swift,CONUS 1.0WestCAUSA001617
CAEA00USA,00871-01:1980,-2716625.766,-4000483.432,4144957.81,Swift,CONUS 1.0WestCAUSA001618
CAEM00USA,00871-01:1898,-2694229.772,-4264073.478,3890655.042,Swift,CONUS 1.0WestCAUSA001941
CAFR00USA,00871-01:1994,-2514586.971,-4113352.849,4163380.289,Swift,CONUS 1.0WestCAUSA001619
CAGU00USA,00871-01:2046,-2661489.791,-4504950.114,3635026.227,Swift,CONUS 1.0WestCAUSA001622
CAHM00USA,00871-01:2011,-2718148.671,-4278369.449,3858431.99,Swift,CONUS 1.0WestCAUSA001623
CAIO00USA,00871-01:1984,-2345056.481,-4764658.256,3520710.9,Swift,CONUS 1.0WestCAUSA001625
CAMH00USA,00871-01:1018828046,-2671541.357,-4332372.053,3830959.9,Swift,CONUS 1.0WestCAUSA001628
CAMN00USA,00871-01:1991,-2684648.79,-4195413.695,3971091.805,Swift,CONUS 1.0WestCAUSA001629
CAND00USA,00871-01:2193018,-2181845.538,-4765021.222,3623239.576,Swift,CONUS 1.0WestCAUSA001630
CAOC00USA,00871-01:1018828044,-2353942.575,-4827440.642,3428914.167,Swift,CONUS 1.0WestCAUSA001631
CASA00USA,00871-01:2009,-2673493.359,-4281239.83,3886388.52,Swift,CONUS 1.0WestCAUSA001633
CASE00USA,00871-01:2003,-2480346.746,-4183656.945,4114353.999,Swift,CONUS 1.0WestCAUSA001634
CASJ00USA,00871-01:1018828043,-2683888.498,-4313792.448,3843077.388,Swift,CONUS 1.0WestCAUSA001635
CASO00USA,00871-01:1995,-2671563.417,-4388822.231,3766487.282,Swift,CONUS 1.0WestCAUSA001636
CAST00USA,00871-03:2193064,-2432571.775,-4781732.205,3437997.746,Swift,CONUS 1.0WestCAUSA002008
CAVA00USA,00871-01:1989,-2574754.502,-4607057.948,3569371.336,Swift,CONUS 1.0WestCAUSA001638
CAWD00USA,00871-01:2041,-2627881.254,-4236959.14,3964479.701,Swift,CONUS 1.0WestCAUSA001639
CAWI00USA,00871-01:2023,-2248584.104,-4876387.835,3430278.384,Swift,CONUS 1.0WestCAUSA001640
CAWS00USA,00871-01:1938,-2713195.151,-4122151.812,4027753.769,Swift,CONUS 1.0WestCAUSA001641
CAWY00USA,00871-01:1018828004,-2581456.851,-4369756.77,3849995.33,Swift,CONUS 1.0WestCAUSA001642
CAYA00USA,00871-01:2038,-2571148.52,-4014681.35,4223974.642,Swift,CONUS 1.0WestCAUSA001643
COCR00USA,00871-01:2193068,-1464409.051,-4631265.566,4122740.0,Swift,CONUS 1.0NorthwestCOUSA001644
